url,FileSize,NumOfOutLink,ContentType
https://www.nytimes.com/interactive/2018/10/01/us/las-vegas-shooting-victims.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,149 KB,32,text/html
https://www.nytimes.com/2018/09/29/opinion/brett-kavanaugh-beer-politics.html,811 KB,137,text/html
https://www.nytimes.com/2018/09/28/books/review/deborah-harkness-times-convert-best-seller.html,801 KB,138,text/html
https://www.nytimes.com/video/us/politics/100000006137793/trump-north-america-canada-mexico-deal.html,478 KB,85,text/html
https://www.nytimes.com/2018/09/25/us/canadian-green-crabs-migration.html,802 KB,125,text/html
https://www.nytimes.com/interactive/2018/03/23/books/review/best-sellers-promo-for-front-copy2.html,21 KB,7,text/html
https://www.nytimes.com/column/frank-bruni,385 KB,112,text/html
https://www.nytimes.com/interactive/2018/09/30/us/first-day-at-new-job.html,182 KB,56,text/html
https://www.nytimes.com/2018/10/01/opinion/brett-kavanaugh-fbi-investigation-christine-blasey-ford.html,649 KB,138,text/html
https://www.nytimes.com/2018/09/23/books/review-who-is-michael-ovitz-memoir.html,600 KB,136,text/html
https://www.nytimes.com/2018/10/01/us/las-vegas-shooting-news-guide-paddock.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,483 KB,134,text/html
https://www.nytimes.com/2018/09/28/books/joe-ide-iq-crime-los-angeles-wrecked.html,541 KB,128,text/html
https://www.nytimes.com/column/nicholas-kristof,109 KB,132,text/html
https://www.nytimes.com/2018/10/01/us/las-vegas-shooting-news-guide-paddock.html,483 KB,133,text/html
https://www.nytimes.com/column/david-brooks,398 KB,113,text/html
https://www.nytimes.com/2018/09/28/books/review/letters-to-the-editor.html,444 KB,124,text/html
https://www.nytimes.com/2018/09/26/climate/climate-week-and-photo-stories.html,493 KB,134,text/html
https://www.nytimes.com/2018/09/19/books/review-dear-america-notes-of-undocumented-citizen-jose-antonio-vargas.html,613 KB,141,text/html
https://www.nytimes.com/2018/09/30/opinion/letters/disclosure-medicine.html,467 KB,121,text/html
https://www.nytimes.com/interactive/2018/us/what-to-do-after-college.html,182 KB,57,text/html
https://www.nytimes.com/section/opinion/culture,249 KB,112,text/html
https://www.nytimes.com/by/parul-sehgal,112 KB,125,text/html
https://www.nytimes.com/2018/09/27/world/americas/united-nations-general-assembly-updates.html,119 KB,113,text/html
https://www.nytimes.com/interactive/2017/10/05/climate/trump-environment-rules-reversed.html,120 KB,119,text/html
https://www.nytimes.com/column/crime,220 KB,112,text/html
https://www.nytimes.com/column/bret-stephens,411 KB,113,text/html
https://www.nytimes.com/2018/09/28/us/dr-ford-brett-kavanaugh.html,895 KB,144,text/html
https://www.nytimes.com/subscriptions/Multiproduct/cooking_lp/assets/images/cooking.png,9 KB,0,image/png
https://www.nytimes.com/2018/10/01/books/review-life-in-culture-lionel-trilling-letters-adam-kirsch.html,603 KB,133,text/html
https://www.nytimes.com/2017/10/05/well/live/bleeding-first-aid.html,680 KB,125,text/html
https://www.nytimes.com/by/jennifer-medina,116 KB,128,text/html
https://www.nytimes.com/2018/09/26/business/energy-environment/zinc-battery-explain.html,760 KB,124,text/html
https://www.nytimes.com/by/dwight-garner,114 KB,126,text/html
https://www.nytimes.com/subscription/edu/lp8LQFK.html?campaignId=4X986,109 KB,48,text/html
https://www.nytimes.com/subscriptions/Multiproduct/cooking_lp/assets/images/recipe-box.jpg,35 KB,0,image/jpeg
https://www.nytimes.com/2018/09/27/books/review/silence-of-the-girls-pat-barker.html,599 KB,125,text/html
https://www.nytimes.com/2018/09/25/nyregion/nj-pine-barrens-fire-regrowth.html,768 KB,129,text/html
https://www.nytimes.com/2018/09/30/world/africa/senegal-baobabs-climate-change.html,1024 KB,136,text/html
https://www.nytimes.com/2018/09/21/us/coal-ash-spill-dam-breach.html,638 KB,132,text/html
https://www.nytimes.com/2018/09/27/books/review/kate-walbert-his-favorites.html,695 KB,126,text/html
https://www.nytimes.com/subscription/multiproduct/lp8HYKU.html?campaignId=6JUHR,109 KB,40,text/html
https://www.nytimes.com/2018/09/26/books/review-ninth-street-women-mary-gabriel-lee-krasner-elaine-de-kooning-joan-mitchell.html,629 KB,142,text/html
https://www.nytimes.com/2018/09/27/climate/epa-science-adviser.html,836 KB,129,text/html
https://www.nytimes.com/2018/09/26/technology/personaltech/the-sun-sets-the-wind-dies-but-energy-data-is-relentless.html,1024 KB,130,text/html
https://www.nytimes.com/2018/09/27/nyregion/new-york-flooding.html,477 KB,123,text/html
https://www.nytimes.com/subscriptions/Multiproduct/cooking_lp/assets/images/nyt-logo.png,5 KB,0,image/png
https://www.nytimes.com/2018/09/30/arts/music/kanye-west-donald-trump-snl.html,664 KB,137,text/html
https://www.nytimes.com/2018/09/28/us/las-vegas-shooting-mgm-lawsuits.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,480 KB,128,text/html
https://www.nytimes.com/2018/09/24/science/poaching-conservation-rhinos-elephants.html,1024 KB,122,text/html
https://www.nytimes.com/subscriptions/Multiproduct/cooking_lp/assets/images/nyt-logo-mobile.png,0 KB,0,image/png
https://www.nytimes.com/2018/09/27/business/media/kavanaugh-blasey-ford-hearing-tv.html,709 KB,126,text/html
https://www.nytimes.com/subscriptions/Multiproduct/cooking_lp/assets/images/two.png,1 KB,0,image/png
https://www.nytimes.com/2018/09/24/opinion/editorials/immigrants-welfare-benefits-trump-administration.html,518 KB,132,text/html
https://www.nytimes.com/video/climate/100000006120061/north-carolina-flood-dam-coal-ash.html,369 KB,75,text/html
https://www.nytimes.com/2018/07/23/opinion/trump-social-policies-welfare.html,720 KB,130,text/html
